dataset_id,run_id,algo,ami,n_clusters,dbcv_status,noise_fraction,status,dbcv,s_dbw
img_fashion_mnist_2k,1134a806601d,AgglomerativeClustering,0.0007830912366569,10,error,0.0,ok,,-0.27365392969537744
img_fashion_mnist_2k,0069693e350e,AgglomerativeClustering,0.0013305218384771,15,error,0.0,ok,,-0.2148133564909189
img_fashion_mnist_2k,2fa0af8799c8,AgglomerativeClustering,0.0013646208447411,20,error,0.0,ok,,-0.22402266569851226
img_fashion_mnist_5k,76c89cda5ca5,KMeans,0.1980216866641989,2,ok,0.0,ok,-0.5548348622162834,-0.8713069878586818
img_fashion_mnist_5k,23861655ac34,KMeans,0.3969583810707223,3,ok,0.0,ok,-0.5947837043406419,-0.9460266612814272
img_fashion_mnist_5k,a042255d7a7d,KMeans,0.4572775932632928,5,ok,0.0,ok,-0.6113320475676349,-0.950292740275266
img_fashion_mnist_5k,47980bf71ea8,KMeans,0.4610630236134383,7,ok,0.0,ok,-0.5972025426807346,-0.9481980648086177
img_fashion_mnist_5k,79d9b0fb5f02,KMeans,0.4861057230367535,10,ok,0.0,ok,-0.6004893727662943,-0.9143625166429838
img_fashion_mnist_5k,e511e76239fe,KMeans,0.488402660171602,15,ok,0.0,ok,-0.5257992098939103,-0.8952719962660247
img_fashion_mnist_5k,7741c3e44852,KMeans,0.5179018559109964,20,ok,0.0,ok,-0.4988056382647071,-0.8816112415861638
img_fashion_mnist_5k,b2d6bf5f391d,KMeans,0.5088889553078627,30,ok,0.0,ok,-0.4814723651671351,-0.8566032152348766
img_fashion_mnist_5k,3964e1ccb548,GaussianMixture,0.2530033630954976,2,ok,0.0,ok,-0.6232693205564931,-0.9741796043442436
img_fashion_mnist_5k,4c077151b389,GaussianMixture,0.3699552349845486,3,ok,0.0,ok,-0.5816814444022448,-0.987611618469601
img_fashion_mnist_5k,f292f2a1db5b,GaussianMixture,0.5152588933599762,5,ok,0.0,ok,-0.5667688671702338,-0.9658178665718824
img_fashion_mnist_5k,a4dbad06fd4e,GaussianMixture,0.5422704011605466,7,ok,0.0,ok,-0.5120742245056696,-0.970710411699651
img_fashion_mnist_5k,8eecd2798818,GaussianMixture,0.5687351580603454,10,ok,0.0,ok,-0.4903969243759266,-0.949517937903743
img_fashion_mnist_5k,4d9c9acccd21,GaussianMixture,0.5660302752593641,15,ok,0.0,ok,-0.47624457481480453,-0.9241044942305475
