dataset_id,algo,hyperparams_json,run_id,ami,silhouette,calinski_harabasz,davies_bouldin,n_clusters_found,noise_fraction,runtime_sec,ch_adjusted,ari,nmi,v_measure
openml_1050,HDBSCAN,"{""min_cluster_size"": 20, ""min_samples"": 5}",bdcde80d6dbb,0.0407859385587015,0.3550093472003937,402.02336863327423,1.027540218346307,4,0.3512476007677543,0.0630919933319091,0.9580140646804464,-0.016369342150420126,0.04224611488348633,0.042246114883486334
openml_1050,HDBSCAN,"{""min_cluster_size"": 20, ""min_samples"": 10}",95475ce56089,0.0297287884025571,0.3642437160015106,148.26283561715496,0.5441350357182773,2,0.0850927703134996,0.0716397762298584,0.8794015525334545,0.08434983385886988,0.03144521852938988,0.031445218529389876
openml_1050,HDBSCAN,"{""min_cluster_size"": 50, ""min_samples"": 1}",5009193136b4,0.0322133575181528,0.2935687601566314,399.9195575977443,1.3720489905086326,3,0.2744721689059501,0.097891092300415,0.93353222932406,0.0005660733914185501,0.033344439022967354,0.033344439022967354
openml_1050,HDBSCAN,"{""min_cluster_size"": 50, ""min_samples"": 5}",955728329102,0.0356656851980015,0.328137993812561,405.4085217981404,1.237457289641635,3,0.3806781829814459,0.0643222332000732,0.95067894119715,-0.01827538796781308,0.03682568279177208,0.03682568279177207
openml_1050,HDBSCAN,"{""min_cluster_size"": 50, ""min_samples"": 10}",1f1b6dfa46dc,0.0328167947490416,0.3496356904506683,392.9395981572593,1.1516952785416317,3,0.4388995521433141,0.0537819862365722,0.952859645442286,-0.029189983660107607,0.0340236864920776,0.03402368649207759
openml_1050,AgglomerativeClustering,"{""linkage"": ""ward"", ""n_clusters"": 2}",272f18e90bd4,-0.0008495979032799,0.9469788670539856,491.8412965634704,0.0358018251142326,2,0.0,0.0311920642852783,0.9999999993476876,-0.0011286990268710901,0.000411906508216047,0.000411906508216047
openml_1050,AgglomerativeClustering,"{""linkage"": ""ward"", ""n_clusters"": 3}",0cc00684cc3f,0.0093573979721239,0.5897637605667114,532.7762510084298,0.8381438126221844,3,0.0,0.0270891189575195,0.7944280520249052,0.06887232904050378,0.011268584753069768,0.011268584753069766
openml_1050,AgglomerativeClustering,"{""linkage"": ""ward"", ""n_clusters"": 5}",7203310ff7ba,0.0221157921594657,0.2155158072710037,463.0719244782332,1.0459123147608138,5,0.0,0.0246188640594482,0.9036594831969612,-0.02034200114965996,0.024059756809374118,0.024059756809374118
openml_1050,AgglomerativeClustering,"{""linkage"": ""ward"", ""n_clusters"": 7}",a399ab5a112a,0.0491757299122824,0.2126054465770721,410.6078167303274,1.2085854397956577,7,0.0,0.0250709056854248,0.8957722441284288,0.038911302906688275,0.05120727079794577,0.051207270797945764
openml_1050,AgglomerativeClustering,"{""linkage"": ""ward"", ""n_clusters"": 10}",4d00158c440c,0.0441690549945221,0.2180765867233276,378.2968262528499,1.301787831845449,10,0.0,0.0321049690246582,0.8915322448879568,0.013256942296386895,0.046871489467628306,0.04687148946762831
openml_1050,AgglomerativeClustering,"{""linkage"": ""ward"", ""n_clusters"": 15}",f028e3896d9e,0.0438966840806941,0.2187824249267578,322.67774230448987,1.229089845513481,15,0.0,0.0231730937957763,,0.028143403310527563,0.047427698770614944,0.04742769877061495
openml_1050,AgglomerativeClustering,"{""linkage"": ""ward"", ""n_clusters"": 20}",bc0e2be21bfb,0.0385171781640321,0.2000901103019714,297.5977796491376,1.1732462793298084,20,0.0,0.0261468887329101,,0.02399069172197781,0.042910292094627565,0.042910292094627565
openml_1050,AgglomerativeClustering,"{""linkage"": ""complete"", ""n_clusters"": 2}",ae16e9272ff8,-0.0008495979032799,0.9469788670539856,491.8412965634704,0.0358018251142326,2,0.0,0.0200870037078857,0.9999999993476876,-0.0011286990268710901,0.000411906508216047,0.000411906508216047
openml_1050,AgglomerativeClustering,"{""linkage"": ""complete"", ""n_clusters"": 3}",803c0d3403ff,-0.0015322793088125,0.8832396864891052,376.92432058601395,0.3535266050299084,3,0.0,0.0178701877593994,0.8028315559271174,-0.0033502624326727415,0.0012014652884470172,0.001201465288447017
openml_1050,AgglomerativeClustering,"{""linkage"": ""complete"", ""n_clusters"": 5}",579a8bd776f9,-0.0029408740635286,0.7881559133529663,228.73183619422872,0.5008287547060175,5,0.0,0.0388500690460205,,-0.006600237551268869,0.00230434771245261,0.00230434771245261
