dataset_id,algo,hyperparams_json,run_id,ami,silhouette,calinski_harabasz,davies_bouldin,n_clusters_found,noise_fraction,runtime_sec
synth_blobs_varying_std,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.6035586983309531,0.28799809376019014,1352.7099760044125,0.9763105633598569,15,0.0,0
synth_moons_noise0.05,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,1.0,0.3875501064624733,858.6408705115141,1.0272178780283032,2,0.0,0
synth_moons_noise0.05,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.8017921128281659,0.341587881705511,738.4777480224159,1.0106674774302544,3,0.0,0
synth_moons_noise0.05,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.616861737502007,0.41666885167339734,1028.6233706193773,0.7660691328596446,5,0.0,0
synth_moons_noise0.05,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.5413402777467282,0.4818536264083896,1437.4295407009427,0.6218983706484045,7,0.0,0
synth_moons_noise0.05,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.46836748760409175,0.4865658331212479,2000.6472311919865,0.5720605717322605,10,0.0,0
synth_moons_noise0.05,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.41038329994974254,0.5009384848831362,2932.105370903029,0.568056556349371,15,0.0,0
synth_moons_noise0.15,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.4543529481674637,0.4496486682061867,1113.3100893459793,0.8479221329392046,2,0.0,0
synth_moons_noise0.15,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.40339777446758546,0.38921252881116014,913.5823805131618,0.9300671089323016,3,0.0,0
synth_moons_noise0.15,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.4158078228536917,0.42249638889766833,1215.7072359279493,0.7647009666100167,5,0.0,0
synth_moons_noise0.15,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.48463225157949547,0.40871515201223063,1194.5905467696957,0.7748797684960987,7,0.0,0
synth_moons_noise0.15,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.43827604021156147,0.40777544802166993,1380.1045575547269,0.7502131075008959,10,0.0,0
synth_moons_noise0.15,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.36522397550500224,0.37780991778264833,1440.9435494122288,0.7722929079105821,15,0.0,0
synth_moons_noise0.30,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.28164532775845036,0.43567130256265246,1027.156241992022,0.8976030590016068,2,0.0,0
synth_moons_noise0.30,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.18494016552345696,0.3472420277171793,751.5013957996518,0.9894919258775122,3,0.0,0
synth_moons_noise0.30,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.2752056353602474,0.35019499528280323,832.8349417340131,0.8529994580566079,5,0.0,0
synth_moons_noise0.30,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.27408392205352194,0.34337731793255294,858.7767073064985,0.8389220999039283,7,0.0,0
synth_moons_noise0.30,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.25256345891605314,0.32603442603918625,820.6663937699101,0.893530600225968,10,0.0,0
synth_moons_noise0.30,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.24704133560453453,0.32550139646724585,814.0505082432164,0.8744963791646281,15,0.0,0
synth_circles_n0.05_f0.5,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,1.0,0.11153377836789873,0.005856779806157016,391.49063730892794,2,0.0,0
synth_circles_n0.05_f0.5,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.8000809960311441,0.18313042799628468,236.2036245461706,1.9859675323324908,3,0.0,0
synth_circles_n0.05_f0.5,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.6069499500769486,0.2633317983461242,412.43904854971606,1.4198821066237355,5,0.0,0
synth_circles_n0.05_f0.5,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.5267875371378122,0.3369408908962479,585.9903680750288,1.1190588175352902,7,0.0,0
synth_circles_n0.05_f0.5,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.46196502143687107,0.3729735964439277,716.4824533424506,0.944671185013295,10,0.0,0
synth_circles_n0.05_f0.5,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.40648587012546233,0.4491621118992606,1155.0578456850503,0.6374977972244462,15,0.0,0
synth_circles_n0.10_f0.3,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,1.0,0.19490666301162649,0.04013073137352518,138.47099253181383,2,0.0,0
synth_circles_n0.10_f0.3,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.7921899542159991,0.30733712318617357,285.4041733998454,1.6940289101209112,3,0.0,0
synth_circles_n0.10_f0.3,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.6016461617461675,0.2870020840487823,435.5163958684395,1.117441009795311,5,0.0,0
synth_circles_n0.10_f0.3,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.5283232620245789,0.3477940341084178,586.8773250959104,0.8463762324288998,7,0.0,0
synth_circles_n0.10_f0.3,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.4764620359764461,0.4129055063276643,917.7933742776311,0.6899868134649427,10,0.0,0
synth_circles_n0.10_f0.3,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.4084129404791952,0.41062269849106237,1091.8649050532006,0.681446102972333,15,0.0,0
synth_circles_n0.15_f0.7,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,-0.0007249941446971195,0.368373279387062,603.4604840403593,1.1733800122745077,2,0.0,0
synth_circles_n0.15_f0.7,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,-0.0010323297357456513,0.4267558923044803,935.3882078769756,0.7720598814424244,3,0.0,0
synth_circles_n0.15_f0.7,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,-0.0015720163269404646,0.41176146429187394,1216.4024713653305,0.7136024424845002,5,0.0,0
synth_circles_n0.15_f0.7,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,-0.00037014720788652584,0.3607560010176679,1204.710984761382,0.7921932233119735,7,0.0,0
synth_circles_n0.15_f0.7,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.0755146804318533,0.3368229930565558,1083.74879396142,0.9743336133600022,10,0.0,0
synth_circles_n0.15_f0.7,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.11793241000358026,0.3228527558074131,1039.4200593164696,0.9093188318055013,15,0.0,0
synth_imb_1_1_5_2d,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.8576982111294384,0.5766684264341833,613.6722520224265,0.9345172957335127,2,0.0,0
synth_imb_1_1_5_2d,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.9640234734360437,0.6339203827227503,965.3035374510237,0.4889677251015326,3,0.0,0
