dataset_id,mean_regret,std_regret,n_runs,best_ami,worst_ami,ami_range,mean_ami,n_algos
openml_12,0.04055035516640345,0.011268467317492509,76,0.7760085077773033,0.0,0.7760085077773033,0.3610342902952838,5
openml_1596,0.03931719768745881,0.0,19,0.1958361916401356,0.0,0.1958361916401356,0.11409047200446165,2
synth_grid_d2_k3_medoverlap,0.03912843792898402,0.0,79,1.0,0.0,1.0,0.6630692021819345,5
openml_1494,0.03472690864604015,0.003065011560330247,76,0.1462647237145086,-0.0013239500402904,0.147588673754799,0.0652912862066659,5
synth_noisy_25pct_d10,0.03157734212602403,0.0,79,1.0,0.0,1.0,0.6124874725203134,5
synth_ellipsoidal_d10_k8,0.0315401469808112,0.0,79,1.0,0.0,1.0,0.669012584396408,5
openml_40478,0.03148360514580742,0.0,72,0.1585547266996991,0.0,0.1585547266996991,0.08017898788500183,5
openml_151,0.0313514006998402,0.0,21,0.0737673776359634,0.0026538512873658,0.0711135263485976,0.028679595578497002,3
openml_1558,0.030570700864999897,0.0,74,0.0674293151142613,-0.0003141371761208,0.0677434522903821,0.026854826333607508,5
text_20ng_comp,0.03022475810308889,0.0,79,0.1874914228538352,0.0,0.1874914228538352,0.0481804187085295,5
openml_6332,0.028594456543021497,0.010505988026352702,76,0.0640183313008155,-0.0031619817135878,0.06718031301440329,0.011476128195235712,5
openml_1067,0.0271802196173708,0.0,72,0.1024358586722648,0.0003260227478645,0.1021098359244003,0.06064483938282669,5
openml_1050,0.026300246383425097,0.0,67,0.0585136039015779,-0.004997564698947,0.0635111686005249,0.02082127557583493,5
synth_mixed_shapes_2d,0.026098208088435992,0.0,79,1.0,0.0,1.0,0.6436623300265351,5
openml_1049,0.026084682567704902,0.0,71,0.0573369728672164,-0.0011381718400521,0.0584751447072685,0.02453924948866137,5
openml_1486,0.02520491038268749,0.0,20,0.1920024703352885,0.0206992805242663,0.1713031898110222,0.10385438448039142,3
img_mnist_digits_2k,0.02406730757918507,0.03403631278828831,79,0.5856421177561831,0.0,0.5856421177561831,0.19394747051999228,5
synth_spirals_3arms_n0.20,0.023027339644156403,0.0,79,0.1129261494121921,-0.0013551658458349,0.114281315258027,0.04287007665059304,5
synth_blobs_varying_std,0.02291124719731019,0.0,91,0.8075453808650653,-0.0002474268512733,0.8077928077163387,0.5284050735322403,6
openml_40994,0.0224808044345485,0.0,79,0.0374067486617878,-0.0047567616130672,0.042163510274855,0.007265632944900881,5
synth_grid_d2_k10_highoverlap,0.022262028268795725,0.0007992124199666384,79,0.4274082673947355,-0.0001762058829725,0.427584473277708,0.22172803768900537,5
openml_4538,0.02211010069839824,0.003453761006376971,78,0.1003266370602395,-8.315054123647983e-05,0.10040978760147598,0.05119602070621953,5
synth_grid_d30_k6_medoverlap,0.021536337538620165,0.02006458172232861,79,1.0,0.0,1.0,0.6862403146170717,5
openml_32,0.021508797689236858,0.0,75,0.7928001802951208,0.0,0.7928001802951208,0.4146555829621759,5
synth_grid_d5_k3_lowoverlap,0.019396334347610233,0.0,79,1.0,0.0,1.0,0.7552136939282831,5
synth_grid_d30_k3_highoverlap,0.018913715594119584,0.0,79,1.0,0.0,1.0,0.6159110147890945,5
synth_grid_d30_k3_lowoverlap,0.018117359189973592,0.0,79,1.0,0.0,1.0,0.7032289711792732,5
openml_1485,0.01736420458948955,0.00592359468327225,76,0.0377977525232718,-0.0025517741223607,0.040349526645632496,0.005580728122575513,5
synth_varying_density_15d,0.017179647023240374,0.011125663062610425,79,1.0,0.0,1.0,0.6848869283373229,5
synth_grid_d2_k6_highoverlap,0.015857648413111103,0.0,79,0.6041867552299363,0.0,0.6041867552299363,0.3399036859470729,5
openml_23,0.015679174527977402,0.0,72,0.0418451501849744,-1.0308078108580812e-05,0.041855458263082984,0.01858378016031545,5
synth_noisy_15pct_d10,0.015136494750083773,0.015136494750083773,79,1.0,0.0,1.0,0.6293832497868541,5
openml_40668,0.015111056490971199,0.0,24,0.0181956225587823,0.0,0.0181956225587823,0.002934571939504841,3
synth_aniso_2d_4k,0.015001192345428849,0.0,79,1.0,0.0,1.0,0.7550931116741634,5
text_20ng_all,0.014294139155905605,0.0,79,0.2863387745623398,0.0,0.2863387745623398,0.06867635762929529,5
synth_grid_d2_k3_lowoverlap,0.013184095239889837,0.0,79,1.0,0.0,1.0,0.7588114630768603,5
openml_1169,0.0123322689370687,0.0,24,0.0134074787584462,0.0,0.0134074787584462,0.00464147238987266,3
openml_31,0.012257463864707201,0.0,74,0.0257661513670633,-0.0009557807213308,0.0267219320883941,0.009340985896959008,5
synth_grid_d5_k6_medoverlap,0.011235906168287402,0.0,79,1.0,0.0,1.0,0.7199301251281249,5
openml_1457,0.011228291044220906,0.0,79,0.2229262783186452,-2.273811162764199e-07,0.22292650569976147,0.05126241368895604,5
openml_1053,0.010888128242561898,0.0087096903795479,73,0.0541798334615173,0.0004299660097296,0.0537498674517877,0.026472919897764326,5
openml_469,0.010307254772748766,4.233220857548885e-06,73,0.0201384793096633,0.0,0.0201384793096633,0.010195210503702846,5
openml_1487,0.009443189073292398,0.0,79,0.042525799197107,-0.0005775428183078,0.0431033420154148,0.016063264444716896,5
img_fashion_mnist_5k,0.00931378865993826,0.0,79,0.5753440639193024,-0.0001150063605603,0.5754590702798627,0.18543870371905882,5
synth_ellipsoidal_d20_k3,0.008466048968418183,0.0,79,1.0,0.0,1.0,0.5637908807268135,5
synth_grid_d15_k10_lowoverlap,0.008061178717089224,0.0,79,1.0,0.0,1.0,0.7511604391074898,5
synth_noisy_10pct,0.007851119195704692,0.0,91,0.8885192367223688,0.0,0.8885192367223688,0.6171870626332923,6
synth_grid_d15_k3_highoverlap,0.007148163251204209,0.002372863094975808,79,1.0,0.0,1.0,0.5826802646354187,5
synth_ellipsoidal_d20_k8,0.006684977461955288,0.0064755536385803225,79,0.9980947902742312,0.0,0.9980947902742312,0.6235284674263281,5
openml_41027,0.006465827492646389,0.0,22,0.0833725680274398,-2.1226593793419386e-05,0.08339379462123321,0.030202712811187745,3
synth_grid_d5_k6_lowoverlap,0.005874698783826848,0.0,79,1.0,0.0,1.0,0.8027954992974815,5
synth_grid_d15_k10_highoverlap,0.005588650305194509,0.004208724601074909,79,1.0,0.0,1.0,0.6209321489468813,5
synth_grid_d15_k10_medoverlap,0.00397972585421158,0.0,79,1.0,0.0,1.0,0.6678122456294413,5
synth_ellipsoidal_d10_k5,0.003923940657830749,0.0,79,1.0,0.0,1.0,0.6683703120081634,5
