dataset_id,rho_predicted,rho_Silhouette,rho_Calinski-Harabasz,rho_Davies-Bouldin (neg),rho_CH Adjusted (Jeon)
synth_grid_d5_k6_lowoverlap,0.9693633832301776,0.7740558796438441,0.859969672989876,0.760980856188266,0.712609618170733
synth_aniso_10d_6k,0.9345206543589932,0.7704125208990605,0.8447414678156134,0.7113289122195455,0.6454645201859237
openml_1596,0.7050043898156276,-0.2377450980392157,-0.19117647058823534,-0.34803921568627455,
openml_40994,0.6897125209840071,-0.3605080330004342,-0.05492835432045158,0.17075553625705603,0.30897009966777406
synth_spirals_3arms_n0.05,0.3333722036959965,0.09737203659855594,-0.20523838755882953,0.46984711625595593,0.051410952161420845
openml_14,0.9117859957448903,-0.5842052960776289,0.3428421114163792,-0.6348278482492546,-0.537287588383716
synth_aniso_2d_4k,0.9405819344964713,0.852478689476897,0.8282356419130458,0.7510208505903271,0.7996908143492891
synth_blobs_large_20d,0.9632629468186615,0.9344726291780345,0.904071365878575,0.9018943957688,0.8988366462502586
openml_40979,0.9452391867157198,0.2766462329444334,-0.10605760991365104,0.22470502933227865,0.41194831095533563
synth_density_varying_d5,0.8668071988848526,0.5342444834694968,0.49049400626097583,0.3296556463312209,0.5324366940277223
openml_1501,0.9385430321704065,0.16264105642256904,-0.13623049219687874,0.19039615846338534,0.33260963960052103
synth_blobs_highd_50,0.9447594556649364,0.7386662596803769,0.9196251314868464,0.6544857397731139,0.6615445224214397
synth_grid_d15_k6_highoverlap,0.9226040485028327,0.25139297155322876,0.2766013455409494,0.1539338988666614,0.13462362334734318
synth_imb_many_small_d15,0.9424548967486278,0.6393425182190543,0.7792124901478614,0.5008772482660019,0.837618349099368
openml_1169,0.3376849434290688,0.32631578947368417,0.6771929824561403,-0.0035087719298245615,
synth_blobs_50d_20k,0.9532692795479039,0.8637095448777575,0.9189342433971961,0.7788766414078055,0.8509850404669429
openml_1038,0.6687245667634344,-0.2944477125661795,0.35046834698402646,0.07932485632834065,0.07199257903605091
openml_1478,0.8578286722365749,-0.843514350850529,0.8176769743379902,-0.8373180569357572,-0.627200331423908
synth_elongated_10d,0.9547712351307343,0.7232253051717993,0.8694030414809061,0.6286367076023572,0.6364986808861446
openml_375,0.847215674898616,-0.03953039477511304,0.09521669002353314,-0.0497369047304265,0.676499992389721
synth_grid_d2_k6_highoverlap,0.8981428337266955,-0.01078197076640916,0.3874840215639415,-0.4730728616684267,0.15816425780295687
synth_density_varying_d2,0.7811504625105481,0.2749622166246851,0.5119395465994961,0.06730478589420655,0.5229195964871958
synth_imb_moderate_d5,0.9270790952911457,0.7792540875574395,0.7450931500017811,0.764934278488227,0.32179514599739173
openml_40478,0.6561937226652946,-0.5961780879478232,0.3603595374244113,-0.6248972358733581,0.027196416108990516
openml_29,0.5468553957097438,-0.7552387668748742,-0.2025488615756599,-0.6699073141245215,-0.4952230073704241
synth_imb_one_large_10d,0.9325355566919193,0.70139936991721,0.8482180191132573,0.695227285249394,0.7708387213356939
openml_40966,0.8585446533979845,-0.17758203895634772,0.14073744755341908,0.0011392369890799964,0.5437115249991664
openml_679,0.3580009896792244,-0.2016922263352723,-0.18841882601797988,-0.1468006345848757,0.3222914710151114
synth_blobs_overlap_10d,0.9576978333399315,0.6439048432507761,0.8235756559952111,0.5319348913475225,0.5641003846430365
img_fashion_mnist_5k,0.8814617743783026,-0.4002445259530954,0.7182949872179615,-0.46665555185061686,0.2794473106908878
synth_imb_many_small_d5,0.8942607616006688,0.7168757115986845,0.6419916430228493,0.6945427829954758,0.7425352825143631
synth_blobs_highd_100,0.9777403201149831,0.8791602148361682,0.956394574184324,0.6724326705886838,0.897691827206087
synth_grid_d15_k10_lowoverlap,0.9503662544077445,0.8327272149310293,0.8838011628095004,0.7446340867699658,0.7564547582190898
synth_grid_d30_k3_highoverlap,0.9646942700951608,0.8780773739742086,0.8630626085052076,0.7449250323934102,0.8602893684588641
text_20ng_all,0.7003835618515254,-0.7065754057591932,0.27701299703345966,-0.7162544604405071,-0.07178759755486887
text_20ng_comp,0.7029000080393093,-0.7246376811594204,0.09440798468690184,-0.7217664752529397,-0.43153695211668625
MEAN (+/- std),0.755 +/- 0.253,0.062 +/- 0.552,0.395 +/- 0.416,0.011 +/- 0.528,0.269 +/- 0.435
